sppSite,sppCode,day_records,night_records,core_records,Nocore_records,survey_area,pa_type,Dist_water,Dist_humset,NDVImean_500m
Dalb-OCCAJ01,Dalb,0,1,0,1,PC,strict,-0.752413006,-0.186858541,-0.182683429
Mtri-OCCAJ01,Mtri,1,0,1,0,PC,strict,-0.752413006,-0.186858541,-0.182683429
Ptaj-OCCAJ01,Ptaj,1,0,1,0,PC,strict,-0.752413006,-0.186858541,-0.182683429
Mgou-OCCAJ01,Mgou,1,0,1,0,PC,strict,-0.752413006,-0.186858541,-0.182683429
Ltig-OCCAJ01,Ltig,1,0,1,0,PC,strict,-0.752413006,-0.186858541,-0.182683429
Tter-OCCAJ02,Tter,0,1,0,1,PC,strict,-0.54761157,-0.527457999,0.006451962
Ptaj-OCCAJ02,Ptaj,0,2,0,2,PC,strict,-0.54761157,-0.527457999,0.006451962
Pcon-OCCAJ02,Pcon,0,1,0,1,PC,strict,-0.54761157,-0.527457999,0.006451962
Mgou-OCCAJ02,Mgou,3,0,2,1,PC,strict,-0.54761157,-0.527457999,0.006451962
Dalb-OCCAJ03,Dalb,0,1,0,1,PC,strict,-0.855471755,-0.767147804,-0.37124447
Tter-OCCAJ03,Tter,0,1,0,1,PC,strict,-0.855471755,-0.767147804,-0.37124447
Mgou-OCCAJ03,Mgou,8,7,7,8,PC,strict,-0.855471755,-0.767147804,-0.37124447
Mgou-OCCAJ04,Mgou,2,1,0,3,PC,strict,-0.200984517,-0.489659406,-0.404248577
Ltig-OCCAJ04,Ltig,1,0,1,0,PC,strict,-0.200984517,-0.489659406,-0.404248577
Dalb-OCCAJ04,Dalb,0,4,0,4,PC,strict,-0.200984517,-0.489659406,-0.404248577
Cuni-OCCAJ04,Cuni,1,0,1,0,PC,strict,-0.200984517,-0.489659406,-0.404248577
Ptaj-OCCAJ04,Ptaj,2,4,0,6,PC,strict,-0.200984517,-0.489659406,-0.404248577
Ltig-OCCAJ06,Ltig,0,1,0,1,PC,strict,-0.295530308,-0.068636045,-0.344060866
Dalb-OCCAJ06,Dalb,0,1,0,1,PC,strict,-0.295530308,-0.068636045,-0.344060866
Mgou-OCCAJ06,Mgou,1,2,1,2,PC,strict,-0.295530308,-0.068636045,-0.344060866
Ptaj-OCCAJ06,Ptaj,0,8,0,8,PC,strict,-0.295530308,-0.068636045,-0.344060866
Csem-OCCAJ06,Csem,0,1,0,1,PC,strict,-0.295530308,-0.068636045,-0.344060866
Mgou-OCCAJ07,Mgou,0,1,0,1,PC,strict,-0.897814231,0.060450797,-0.207696906
Tter-OCCAJ07,Tter,1,3,0,4,PC,strict,-0.897814231,0.060450797,-0.207696906
Pcon-OCCAJ07,Pcon,1,0,1,0,PC,strict,-0.897814231,0.060450797,-0.207696906
Cbra-OCCAJ08,Cbra,0,1,0,1,PC,strict,-0.361618679,-0.259925096,-0.727406794
Obez-OCCAJ08,Obez,3,0,3,0,PC,strict,-0.361618679,-0.259925096,-0.727406794
Mgou-OCCAJ08,Mgou,2,0,0,2,PC,strict,-0.361618679,-0.259925096,-0.727406794
Tter-OCCAJ08,Tter,0,3,0,3,PC,strict,-0.361618679,-0.259925096,-0.727406794
Mgou-OCCAJ09,Mgou,3,1,2,2,PC,strict,-0.960509771,-0.240410586,-0.297596605
Ttet-OCCAJ09,Ttet,0,2,0,2,PC,strict,-0.960509771,-0.240410586,-0.297596605
Tter-OCCAJ09,Tter,0,4,0,4,PC,strict,-0.960509771,-0.240410586,-0.297596605
Pcon-OCCAJ09,Pcon,0,3,0,3,PC,strict,-0.960509771,-0.240410586,-0.297596605
Cbra-OCCAJ09,Cbra,0,1,0,1,PC,strict,-0.960509771,-0.240410586,-0.297596605
